no.,serial_number_for_camera,precinct,police_office,location
203,AB078,大同,民族,承德路3段159巷25號前燈桿
204,AB079,大同,民族,承德路3段113巷1號旁
205,AB080,大同,民族,大龍街159巷16號對面
206,AB081,大同,民族,大龍街85巷8號前燈桿
207,AB082,大同,民族,昌吉街61巷19號
208,AB083,大同,民族,承德路3段120號旁
209,AB084,大同,民族,民族西路150號前號誌桿
210,AB085,大同,民族,大龍街91巷19號
211,AB086,大同,民族,民族西路134號前燈桿
212,AB087,大同,民族,大龍街89巷1號
213,AB088,大同,民族,承德路3段72號
214,AB089,大同,民族,重慶北路3段236巷45弄2號
215,AC001,大同,重慶,承德路3段214巷2號旁 
216,AC002,大同,重慶,大龍街215巷15號
217,AC003,大同,重慶,北市大同區承德路3段208巷17號(對面燈桿)路口監控
218,AC004,大同,重慶,大龍街223號前
219,AC005,大同,重慶,承德路3段193號旁
220,AC006,大同,重慶,承德路3段187號前
221,AC007,大同,重慶,大龍街236號對面
222,AC008,大同,重慶,重慶北路3段187號前人行道
223,AC009,大同,重慶,民族西路73號前
224,AC010,大同,重慶,酒泉街12號
225,AC010,中山,圓山,酒泉街12號
226,AC011,大同,重慶,承德路3段176巷14號牆上
227,AC013,大同,重慶,民族西路31巷8號前
228,AC014,大同,重慶,酒泉街50號
229,AC015,大同,重慶,重慶北路3段205巷30號
230,AC016,大同,重慶,酒泉街56號前
231,AC017,大同,重慶,酒泉街10巷1號
232,AC017,大同,重慶,南京東路4段13巷5弄底
233,AC018,大同,重慶,承德路3段210號旁
234,AC019,大同,重慶,重慶北路3段221號旁
235,AC020,大同,重慶,大龍街181號前
236,AC021,大同,重慶,重慶北路3段205巷32號
237,AC022,大同,重慶,重慶北路3段241號旁
238,AC023,大同,重慶,民族西路169巷17號
239,AC025,大同,重慶,北市大同區承德路3段216號前路口監控
240,AC026,大同,重慶,大龍街187巷4號牌前
241,AC027,大同,重慶,民族西路187巷31號牆上
242,AC028,大同,重慶,民族西路200號前
243,AC029,大同,重慶,北市大同區重慶北路3段269號前路口監控
244,AC029,大同,重慶,北市大同區重慶北路3段269號前路口監控
245,AC030,大同,重慶,承德路3段與酒泉街口照路口
246,AC031,大同,重慶,重慶北路3段165號前人行道上
247,AC032,大同,重慶,民族西路163號
248,AC033,大同,重慶,酒泉街54-1號
249,AC034,大同,重慶,承德路3段223號燈桿
250,AC035,大同,重慶,民族西路31巷18號旁燈桿
251,AC036,大同,重慶,庫倫街13巷3弄28號旁對面燈桿
252,AC037,大同,重慶,重慶北路3段320號前地下道
253,AC037,大同,重慶,重慶北路3段320號前地下道
254,AC038,大同,重慶,重慶北路3段310號
255,AC039,大同,重慶,延平北路4段294巷1號壁掛
256,AC040,大同,重慶,延平北路4段294巷底
257,AC041,大同,重慶,延平北路4段197號
258,AC042,大同,重慶,重慶北路3段312巷28號前
259,AC043,大同,重慶,環河北路2段377號
260,AC044,大同,重慶,酒泉街與環河北路路口號誌(污水處理廠旁)
261,AC045,大同,重慶,延平北路4段157號
262,AC046,大同,重慶,酒泉街150號前
263,AC047,大同,重慶,重慶北路3段282號牆上
264,AC048,大同,重慶,敦煌路131號牆上
265,AC049,大同,重慶,敦煌路167號
266,AC050,大同,重慶,迪化路2段265號
267,AC051,大同,重慶,重慶北路3段336號側牆
268,AC052,大同,重慶,延平北路4段282巷26號右前方燈桿
269,AC053,大同,重慶,迪化街301號對面
270,AC054,大同,重慶,環河北路二段敦煌路口(慶昌橋南側號誌)
271,AC055,大同,重慶,迪化街2段303號對面
272,AC056,大同,重慶,哈密街168號
273,AC057,大同,重慶,敦煌路與延平北路口
274,AC058,大同,重慶,延平北路4段179巷2號.4號對面燈桿
275,AC059,大同,重慶,環河北路2段與敦煌路口南側分隔島門型桿
276,AC060,大同,重慶,延平北路5段1巷口號誌桿
277,AC061,大同,重慶,環河北路2段與敦煌路口西南角(分隔島)
278,AC062,大同,重慶,延平北路4段243號對面
279,AC063,大同,重慶,迪化街2段362號旁燈桿
280,AC064,大同,重慶,民族西路53號前燈桿
281,AC065,大同,重慶,迪化街2段348號旁燈桿
282,AC066,大同,重慶,延平北路4段155號旁號誌桿
283,AC067,大同,重慶,酒泉街183號壁掛
284,AC068,大同,重慶,延平北路四段污水處理場前天橋旁號誌
285,AC069,大同,重慶,敦煌路177號
286,AC070,大同,重慶,延平北路4段253號
287,AC072,大同,重慶,環河北路二段(6號水門旁安全島上號誌桿)
288,AC073,大同,重慶,酒泉街258號
289,AC075,大同,重慶,承德路3段295號
290,AC077,大同,重慶,承德路3段247巷26號右上角
291,AC078,大同,重慶,敦煌路80巷3號
292,AC079,大同,重慶,哈密街59巷65號
293,AC080,大同,重慶,敦煌路148號
294,AC081,大同,重慶,哈密街59巷56弄22號
295,AC083,大同,重慶,哈密街59巷38弄50號前燈桿
296,AC084,大同,重慶,哈密街23巷19號前
297,AC085,大同,重慶,承德路與敦煌路東側人行天橋壁掛
298,AC086,大同,重慶,哈密街59巷21號
299,AC087,大同,重慶,哈密街59巷31弄1號
300,AC088,大同,重慶,承德路3段290號、哈密街23巷
301,AC089,大同,重慶,承德路3段301巷20號斜對面燈桿
302,AC090,大同,重慶,哈密街20巷2號
303,AC091,大同,重慶,敦煌路臨21巷口敦煌路27號旁燈桿
304,AC092,大同,重慶,重慶北路3段333號前
305,AC093,大同,重慶,重慶北路3段337號
306,AC094,大同,重慶,承德路3段299巷19號
307,AC095,大同,重慶,重慶北路3段335巷13號
308,AC096,大同,重慶,敦煌路114號
309,AC097,大同,重慶,敦煌路71號﹙包公廟右前側﹚
310,AC098,大同,重慶,重慶北路3段383巷口(397-1號斜對面)
311,AC099,大同,重慶,敦煌路24巷2弄30號底
312,AC100,大同,重慶,承德路3段明倫高中東北角後方(承德橋下迴轉道西側)
313,AC101,大同,重慶,敦煌路72號桿
314,AC103,大同,重慶,酒泉街10巷19號旁燈桿
315,AC104,大同,重慶,敦煌路78號
316,AC104,大同,重慶,敦煌路78號
317,AC105,大同,重慶,敦煌路與哈密街59巷口照
318,AC106,大同,重慶,承德路3段291號前門型號誌桿
319,AC106,大同,重慶,承德路3段291號前門型號誌桿
320,AC107,大同,重慶,哈密街59巷77號
321,AC108,大同,重慶,哈密街23巷29號旁燈桿(哈密街23巷口)
322,AC109,大同,重慶,庫倫街11號旁(13巷口)
323,AC110,大同,重慶,重慶北路三段273號前燈桿
324,AC111,大同,重慶,哈密街74號
325,AC112,大同,重慶,哈密街114號
326,AC113,大同,重慶,酒泉街109號
327,AC114,大同,重慶,大龍街275號旁
328,AC115,大同,重慶,哈密街70-1號
329,AC116,大同,重慶,北市大同區承德路3段285號前路口監控
330,AC117,大同,重慶,庫倫街61巷中段明倫國小後方
331,AC118,大同,重慶,哈密街59巷16號
332,AC119,大同,重慶,哈密街83巷1號
333,AC120,大同,重慶,庫倫街13巷1弄23號
334,AC121,大同,重慶,庫倫街57號口
335,AC122,大同,重慶,哈密街20巷14號
336,AC123,大同,重慶,重慶北路3段295巷1號
337,AC124,大同,重慶,哈密街70巷1弄34號
338,AC125,大同,重慶,哈密街45巷1弄31號底
339,AC126,大同,重慶,哈密街50之1號
340,AC127,大同,重慶,重慶北路3段295巷40號
341,AC128,大同,重慶,哈密街45巷2-1號與68巷口
342,AC129,大同,重慶,哈密街68巷29號
343,AC130,大同,重慶,庫倫街13巷2弄3號前
344,AC131,大同,重慶,哈密街47號
345,AC132,大同,重慶,哈密街124號燈桿
346,AC133,大同,重慶,哈密街59巷21弄37號大龍國小後門
347,AC134,大同,重慶,承德路3段283巷口往東明倫國小
348,AC135,大同,重慶,庫倫街1號
349,AC136,大同,重慶,大龍街哈密街口
350,AC137,大同,重慶,重慶北路3段311號
351,AC138,大同,重慶,承德路3段287號旁(明倫國小東北角、勞工教育館東南角)
352,AC139,大同,重慶,哈密街45巷11號對面
353,AC-C01,大同,重慶,承德路3段與庫倫街口東南角人行號誌燈桿
354,AC-C02,大同,重慶,承德路3段與敦煌路東南角(小綠人)
355,AD001,大同,大橋,民權西路上台北橋機車道燈桿
356,AD002,大同,大橋,民權西路247號左前橋墩燈桿
357,AD002,大同,大橋,民權西路247號左前橋墩燈桿
358,AD003,大同,大橋,民權西路281號對面燈桿
359,AD003,大同,大橋,民權西路281號對面燈桿
360,AD004,大同,大橋,環河北路2段15號
361,AD004,大同,大橋,環河北路2段15號
362,AD005,大同,大橋,環河北路2段45號
363,AD005,大同,大橋,環河北路2段45號
364,AD006,大同,大橋,環河北路2段83號右後方燈桿
365,AD007,大同,大橋,迪化街2段與昌吉街西北角號誌桿
366,AD007,大同,大橋,迪化街2段與昌吉街西北角號誌桿
367,AD008,大同,大橋,迪化街2段36號
368,AD009,大同,大橋,民權西路245巷29號
369,AD010,大同,大橋,延平北路3段66巷2號前燈桿
370,AD011,大同,大橋,昌吉街232號旁燈桿
371,AD012,大同,大橋,延平北路3段53號前燈桿
372,AD013,大同,大橋,延平北路3段與伊寧街西北角(3段40號巷口)
373,AD013,大同,大橋,延平北路3段與伊寧街西北角(3段40號巷口)
374,AD014,大同,大橋,延平北路3段18巷口
375,AD014,大同,大橋,延平北路3段18巷口
376,AD015,大同,大橋,延平北路3段19號之2
377,AD016,大同,大橋,迪化街2段60號
378,AD017,大同,大橋,伊寧街75巷73號
379,AD018,大同,大橋,迪化街2段87號
380,AD019,大同,大橋,延平北路3段66巷8號
381,AD020,大同,大橋,伊寧街41號
382,AD021,大同,大橋,昌吉街214號右側(燈桿)
383,AD022,大同,大橋,延平北路3段5號前燈桿
384,AD023,大同,大橋,延平北路3段29號
385,AD024,大同,大橋,延平北路3段52號前水泥桿 
386,AD024,大同,大橋,延平北路3段52號前水泥桿 
387,AD025,大同,大橋,延平北路3段59號旁
388,AD026,大同,大橋,延平北路3段61之4號
389,AD027,大同,大橋,延平北路3段61-5號前路口監控
390,AD028,大同,大橋,昌吉街154號
391,AD029,大同,大橋,重慶北路3段56號旁燈桿
392,AD030,大同,大橋,重慶北路3段56號前號誌
393,AD031,大同,大橋,重慶北路3段25巷32號旁燈桿
394,AD032,大同,大橋,重慶北路3段9巷25號
395,AD033,大同,大橋,重慶北路3段11號左側後方
396,AD034,大同,大橋,重慶北路3段與民權西路口中央分隔島
397,AD035,大同,大橋,民權西路221號號誌桿
398,AD036,大同,大橋,民權西路225巷口台北橋下
399,AD036,大同,大橋,民權西路225巷口台北橋下
400,AD037,大同,大橋,民權西路與延平北路3段分隔島西側號誌桿
401,AD037,大同,大橋,民權西路與延平北路3段分隔島西側號誌桿
402,AD038,大同,大橋,重慶北路與伊寧街西南角(大橋國小)
403,AD038,大同,大橋,重慶北路與伊寧街西南角(大橋國小)
404,AD039,大同,大橋,重慶北路3段與民權西路口西北角
405,AD040,大同,大橋,民權西路與蘭州街西北角
406,AD040,大同,大橋,民權西路與蘭州街西北角
407,AD041,大同,大橋,重慶北路3段與民權西路汽車道往三重
408,AD042,大同,大橋,延平北路3段96號
409,AD043,大同,大橋,延平北路3段82號旁燈桿
410,AD044,大同,大橋,迪化街2段116號燈桿
411,AD045,大同,大橋,環河北路2段95號燈桿
412,AD045,大同,大橋,環河北路2段95號燈桿
413,AD046,大同,大橋,環河北路2段145巷2號對面燈桿
414,AD046,大同,大橋,環河北路2段145巷2號對面燈桿
415,AD047,大同,大橋,環河北路2段163號左前燈桿
416,AD048,大同,大橋,環河北路2段187號左後方燈桿
417,AD049,大同,大橋,環河北路2段171號
418,AD050,大同,大橋,民族西路326號
419,AD050,大同,大橋,民族西路326號
420,AD051,大同,大橋,迪化街2段146巷32號之1(燈桿)
421,AD052,大同,大橋,民族西路277號分隔島燈桿
422,AD053,大同,大橋,延平北路3段154號
423,AD054,大同,大橋,迪化街2段151號
424,AD055,大同,大橋,迪化街2段與迪化街2段149巷號誌
425,AD056,大同,大橋,延平北路與迪化街2段149巷西南角號誌
426,AD057,大同,大橋,延平北路3段104巷1號水泥桿
427,AD058,大同,大橋,迪化街2段172巷21號
428,AD059,大同,大橋,迪化街2段212號
429,AD060,大同,大橋,迪化街2段183號
430,AD061,大同,大橋,迪化街2段與迪化街2段149巷轉角燈桿
431,AD062,大同,大橋,環河北路2段71號後門
432,AD062,大同,大橋,環河北路2段71號後門
433,AD063,大同,大橋,環河北路2段79號
434,AD065,大同,大橋,延平北路3段33號前(嘉興體育百貨)
435,AE001,大同,延平,鄭州路與西寧北路口(西南角)
436,AE002,大同,延平,忠孝西路2段與西寧北路口西北角
437,AE003,大同,延平,忠孝西路與西寧北路口東北角
438,AE004,大同,延平,鄭州路與西寧北路口
439,AE005,大同,延平,鄭州路與西寧北路1巷口(水泥桿)
440,AE006,大同,延平,忠孝西路與鄭州路38巷口(台電水泥桿)
441,AE009,大同,延平,西寧北路50號口
442,AE010,大同,延平,塔城街24巷底與鄭州路143巷
443,AE011,大同,延平,延平北路1段18號的斜對面
444,AE012,大同,延平,長安西路與延平北路口
445,AE013,大同,延平,長安西路291號與南京西路434巷口(燈桿)
446,AE014,大同,延平,長安西路340-1號燈桿 
447,AE015,大同,延平,鄭州路與西寧北路口
448,AE016,大同,延平,鄭州路143巷口西北角(聯合醫院東南角)
449,AE016,大同,延平,鄭州路143巷口西北角(聯合醫院東南角)
450,AE017,大同,延平,長安西路與塔城街口西北角
451,AE018,大同,延平,塔城街30號(台企前燈桿)
452,AE019,大同,延平,塔城街52號
453,AE020,大同,延平,長安西路與環河北路1段61號口
454,AE021,大同,延平,長安西路與西寧北路口(海霸王餐廳)
455,AE022,大同,延平,長安西路與貴德街5號前
456,AE023,大同,延平,南京西路436號
457,AE024,大同,延平,環河北路1段三號水門遊覽車停車場橋墩
458,AE025,大同,延平,環河北路1段109-1號旁(堤外便道旁路口監控)
459,AE026,大同,延平,延平北路1段68號
460,AE027,大同,延平,南京西路與貴德街23號
461,AE028,大同,延平,南京西路462號
462,AE029,大同,延平,南京西路434之1號
463,AE030,大同,延平,南京西路440號號誌桿
464,AE031,大同,延平,長安西路與西寧北路口(西南角)
465,AE032,大同,延平,城區醫院鄭州路40號門前號
466,AE033,大同,延平,南京西路412巷1弄8號
467,AE034,大同,延平,延平北路2段48號
468,AE035,大同,延平,南京西路390號前燈桿
469,AE036,大同,延平,南京西路211號前
470,AE037,大同,延平,南京西路與延平北路口
471,AE038,大同,延平,長安西路275號
472,AE039,大同,延平,延平北路1段106號旁燈桿
473,AE040,大同,延平,延平北路2段63號前
474,AE041,大同,延平,延平北路2段與民生西路(西北角號誌桿)
475,AE042,大同,延平,民生西路419號前燈桿
476,AE043,大同,延平,西寧北路86巷7號
477,AE044,大同,延平,環河北路與民生西路東南角號誌
478,AE045,大同,延平,南京西路239巷39號
479,AE046,大同,延平,環河北路141號前
480,AE047,大同,延平,南京西路358號前(號誌桿)
481,AE048,大同,延平,延平北路2段60巷21號
482,AE049,大同,延平,民樂街31號旁
483,AE050,大同,延平,南京西路233巷16號旁燈桿
484,AE051,大同,延平,南京西路239巷1號右側
485,AE052,大同,延平,迪化街1段14巷38號
486,AE053,大同,延平,迪化街1段44號口燈桿路口監控
487,AE054,大同,延平,迪化街1段60號燈桿
488,AE055,大同,延平,貴德街30-1號對面燈桿
489,AE056,大同,延平,南京西路301號
490,AE057,大同,延平,迪化街1段72巷23號燈桿
491,AE058,大同,延平,西寧北路61號旁
492,AE059,大同,延平,貴德街73號前燈桿
493,AE060,大同,延平,民生西路342號
494,AE061,大同,延平,延平北路1段152號號誌桿
495,AE062,大同,延平,迪化街1段84號
496,AE063,大同,延平,貴德街47-4號
497,AE064,大同,延平,貴德街53號口
498,AE065,大同,延平,五號水門堤外停車場
499,AE066,大同,延平,貴德街49號口
500,AE067,大同,延平,重慶北路2段46巷28號旁
501,AE068,大同,延平,天水路51巷15號
502,AE069,大同,延平,重慶北路2段46巷5弄9號前燈桿
503,AE070,大同,延平,南京西路167巷24號旁燈桿
504,AE071,大同,延平,重慶北路2段75號對面號誌桿(73巷口)
505,AE072,大同,延平,南京西路185巷8號
506,AE073,大同,延平,南京西路344巷8號前
507,AE074,大同,延平,南京西路155巷口
508,AE075,大同,延平,北市大同區南京西路167巷口.南京西路326號燈桿路口監控
509,AE076,大同,延平,重慶北路2段100號號誌桿
510,AE077,大同,延平,延平北路2段61巷口
511,AE078,大同,延平,南京西路167巷43號旁燈桿
512,AE079,大同,延平,延平北路2段60巷21號後旁壁掛
513,AE080,大同,延平,重慶北路2段18號旁
514,AE081,大同,延平,重慶北路2段6巷口分隔島號誌
515,AE081,大同,雙連,重慶北路2段6巷口分隔島號誌
516,AE082,大同,延平,延平北路2段43巷1號
517,AE083,大同,延平,北市大同區延平北路2段61巷21號燈桿路口監控
518,AE084,大同,延平,重慶北路2段46巷6號
519,AE085,大同,延平,民生西路262號前
520,AE086,大同,延平,重慶北路2段46巷42-1號
521,AE087,大同,延平,南京西路167巷11號
522,AE088,大同,延平,南京西路185巷5之2號
523,AE089,大同,延平,延平北路2段93號
